date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
01-11-1927; Edison; 11425; Volkslieder; Manhattan Quartet
01-11-1927; Edison; 11426; Studentenlieder; Manhattan Quartet
01-12-1927; Victor; BVE-37351; Non so più; Geraldine Farrar
01-12-1927; Victor; BVE-37352; The beautiful blue Danube; Erva Giles
01-12-1927; Victor; BVE-37353; The swallows; Erva Giles
01-12-1927; Victor; BVE-37536; Helios; Orquesta Internacional
01-12-1927; Victor; BVE-37537; Andalucía; Orquesta Internacional
01-12-1927; Victor; BVE-37538; Serenata aldeana; Orquesta Internacional
01-12-1927; Victor; BVE-37539; I know, that you know; Victor Orchestra
01-12-1927; Victor; BVE-37540; High, high, high up in the hills (Watching the clouds roll by); Victor Orchestra
01-12-1927; Victor; BVE-37711; Pepita; Kirilloff's Russian Balalaika Orchestra
01-12-1927; Victor; BVE-37712; Eastern procession; Kirilloff's Russian Balalaika Orchestra
01-12-1927; Victor; BVE-37713; Amidst the gay ball; Kirilloff's Russian Balalaika Orchestra
01-12-1927; Victor; BVE-37714; Cossack girl; Kirilloff's Russian Balalaika Orchestra
01-12-1927; Victor; CVE-37715; Winta Bona Marsch; Koskas Schuhplattler Kapelle
01-12-1927; Victor; CVE-37716; Klange ans dem Burgenland; Koskas Schuhplattler Kapelle
01-12-1927; Victor; CVE-37717; Hochzeitsgesänge; Koskas Schuhplattler Kapelle
01-12-1927; Victor; CVE-37718; Hoffnung der Liebe; Koskas Schuhplattler Kapelle
01-12-1927; Victor; Unnumbered 1927-01-12-01; The passion rose; Geraldine Farrar
01-12-1927; Columbia; 143290; If tears could bring you back to me; Joe Davis
01-12-1927; Columbia; 143291; I've got somebody now; Joe Davis
01-12-1927; Columbia; W143292; Blue skies; Giersdorf Sisters
01-12-1927; Columbia; 143293; I love the college girls; Joe Collegiate ; WMCA Broadcasters
01-12-1927; Columbia; 143294; Yankee Rose; WMCA Broadcasters
01-12-1927; Columbia; 143295; All I want is you; WMCA Broadcasters
01-12-1927; Columbia; W143296; Muddy water; Charles Kaley
01-12-1927; Columbia; W143297; High-high-high up in the hills; Charles Kaley
01-12-1927; Columbia; W143298; Who do you love?; Charles Kaley
01-12-1927; Columbia; W175266; Test recording; Erik Ole Bye
01-12-1927; Okeh; W80296; Blue skies; Vaughn De Leath
01-12-1927; Okeh; W80297; There ain't no maybe in my baby's eyes; Vaughn De Leath
01-12-1927; Brunswick; E4392-E4394; Alabama stomp; Five Pennies ; Red Nichols
01-12-1927; Brunswick; E4395-E4397; Hurricane; Five Pennies ; Red Nichols
01-12-1927; Brunswick; E21164-E21166; I passed by your window; Marie Morrisey
01-12-1927; Brunswick; E21167-E21169; When twilight comes; Marie Morrisey
01-12-1927; Brunswick; E21170-E21171; How beautiful upon the mountains; Marie Morrisey
01-12-1927; Edison; 11427; The little white house (At the end of Honeymoon Lane); Frederick Kinsley
01-12-1927; Edison; 11428; Roses remind me of you; Frederick Kinsley
01-12-1927; Edison; 11429; Jesus Christ is risen to-day; Frederick Kinsley
01-12-1927; Edison; 11430; In the cross of Christ I glory—the strife is over; Frederick Kinsley
01-12-1927; Edison; 12021; Thaïs : Meditation; André Benoist ; Albert Spalding
01-12-1927; Plaza; 7047; When I first met Mary; Billy Jones and Ernest Hare
01-12-1927; Columbia (U.K.); WRAX2336; A musical switch; Plaza Theatre Orchestra ; Frank E. Tours
01-12-1927; Columbia (U.K.); WRAX2337; A musical switch; Plaza Theatre Orchestra ; Frank E. Tours
01-12-1927; Columbia (U.K.); WRAX2338; A musical switch; Plaza Theatre Orchestra ; Frank E. Tours
01-12-1927; Columbia (U.K.); WRAX2339; Lovers' lane minuet; Plaza Theatre Orchestra ; Frank E. Tours
01-13-1927; Victor; CVE-16098; Songs of the past, no. 1; Victor Mixed Chorus
01-13-1927; Victor; CVE-16100; Songs of the past, no. 2; Victor Mixed Chorus
01-13-1927; Victor; CVE-16173; Songs of the past, no. 3; Victor Mixed Chorus
01-13-1927; Victor; BVE-37354; Midnight bells; Geraldine Farrar
01-13-1927; Victor; BVE-37355; The passion rose; Geraldine Farrar
01-13-1927; Victor; BVE-37356; Humoreske; Geraldine Farrar
01-13-1927; Victor; CVE-37415; Deux arabesques; Julius L. Schendel
01-13-1927; Victor; CVE-37719; Springtime; Boys and Girls Chorus of Brooklyn
01-13-1927; Victor; CVE-37720; The glow-worm; Boys and Girls Chorus of Brooklyn
01-13-1927; Victor; CVE-37721; Stille Nacht; Boys and Girls Chorus of Brooklyn
01-13-1927; Victor; CVE-37722; O du Fröhliche Weihnachtszeit; Boys and Girls Chorus of Brooklyn
01-13-1927; Victor; Unnumbered 1927-01-13-01; Venite; Geraldine Farrar
01-13-1927; Columbia; 143299; Muddy water; Royal Troubadours
01-13-1927; Columbia; 143300; Oriental moonlight; Royal Troubadours
01-13-1927; Columbia; 143301; Indian butterfly; Royal Troubadours
01-13-1927; Brunswick; E21172-E21174; William Tell overture; Walter B. Rogers Band
01-13-1927; Brunswick; E21175-E21176; William Tell overture; Walter B. Rogers Band
01-13-1927; Brunswick; E21177-E21178; William Tell overture; Walter B. Rogers Band
01-13-1927; Brunswick; E21179-E21180; William Tell overture; Walter B. Rogers Band
01-13-1927; Brunswick; E21183-E21185; My little bunch of happiness; Radio Franks
01-13-1927; Brunswick; E21186-E21188; Here or there (As long as I'm with you); Radio Franks
01-13-1927; Brunswick; E21189-E21190; Souvenir; Max Rosen
01-13-1927; Brunswick; E21191-E21192; La gitana; Max Rosen
01-13-1927; Brunswick; XE21193-XE21194; Humoresque; Max Rosen
01-13-1927; Edison; 11431; Yankee Rose; Oreste Queensland Orchestra
01-13-1927; Edison; 11433; Captain Mac!; Arthur Middleton
